"sgID","gene_TSS","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM68_-_56685864.23-P1P2","TMEM68__P1P2",1314.13996645147,-2.99132847248528,0.215766838625636,-13.8637081190931,1.05101345253489e-43,2.54424081522383e-40
"TMEM68_-_56685876.23-P1P2","TMEM68__P1P2",1154.43836994386,-3.14921230681453,0.333472405327851,-9.4436968591701,3.59854014401226e-21,2.08650683918986e-19
"TMEM68__P1P2__primary__RVS__32","TMEM68__P1P2",926.458753002946,-3.63209376156067,0.420024274345105,-8.64734250710575,5.27125777276015e-18,1.92609769862779e-16
"TMEM68__P1P2__primary__FWD__45","TMEM68__P1P2",3244.4750739667,-0.0436258459795258,0.0983412825183897,-0.443616809363532,0.657319650620559,0.794114307792748
"TMEM68__P1P2__primary__FWD__48","TMEM68__P1P2",1380.1413232826,-1.83634955833709,0.300948782841036,-6.10186737092427,1.04836352660678e-09,1.09981625440233e-08
"TMEM68_-_56685873.23-P1P2","TMEM68__P1P2",1214.44431330235,-3.66453768695064,0.281630228122681,-13.0118762867824,1.04738422246529e-38,8.4515178551095e-36
"TMEM68__P1P2__primary__RVS__73","TMEM68__P1P2",1339.35319244968,-3.19578054660021,0.267619200869116,-11.9415218946235,7.18955183986318e-33,2.24569130533533e-30
"TMEM81_-_205053641.23-ENST00000367167.3","TMEM81__ENST00000367167.3",3108.19227677339,0.0981362377860489,0.0732750478126995,1.339285892203,0.180477619688575,0.334065973333329
"TMEM81_-_205053434.23-ENST00000367167.3","TMEM81__ENST00000367167.3",2083.33724012043,0.00866039316480453,0.106306100051955,0.0814665683396523,0.935070911079244,0.966615953024482
"TMEM81_-_205053412.23-ENST00000367167.3","TMEM81__ENST00000367167.3",3847.41403779366,0.922242686184609,0.221621916151172,4.16133341955014,3.16394747658305e-05,0.000160568676183196
"TMEM81__all__primarysecondary__RVS__20","TMEM81__ENST00000367167.3",2746.94353151349,0.227955882485569,0.094831416982547,2.40380129010962,0.0162255903189105,0.0484765168336965
