sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
NSDHL_+_151999973.23-P1P2	NSDHL__P1P2	4443.8	1693/1689.7	4443.8	1691.3	-1.3931	5.2135	4.6293e+05	4.0455	2.6111e-05	0.99997	5.2222e-05	0.00021975	False
RPS13__P1P2__primarysecondary__FWD__100	RPS13__P1P2	4763.5	2059.9/1683.2	4763.5	1871.6	-1.3473	70969	5.1108e+05	4.0453	2.6131e-05	0.99997	5.2263e-05	0.00021983	False
NDE1__P1__primarysecondary__FWD__-13	NDE1__P1	4536.2	1774.9/1715.8	4536.2	1745.3	-1.3775	1743.3	4.7669e+05	4.0422	2.6474e-05	0.99997	5.2948e-05	0.00022261	False
CTNND1_+_57529304.23-P1P2	CTNND1__P1P2	4489.5	8718.8/5800.4	4489.5	7259.6	0.69321	4.2584e+06	4.6972e+05	4.0418	0.99997	2.6522e-05	5.3044e-05	0.00022292	True
AGPS_-_178257523.23-P1P2	AGPS__P1P2	3705.8	5543.3/6697.4	3705.8	6120.4	0.72369	6.6599e+05	3.5743e+05	4.0388	0.99997	2.6867e-05	5.3733e-05	0.00022564	True
TRIP13_+_893394.23-P1P2	TRIP13__P1P2	2110.3	659.35/326.95	2110.3	493.15	-2.0951	55244	1.6038e+05	4.0387	2.6869e-05	0.99997	5.3738e-05	0.00022564	False
ATF6__P1P2__primary__FWD__67	ATF6__P1P2	4783.3	1801.8/1973.8	4783.3	1887.8	-1.3408	14796	5.1409e+05	4.0382	2.6927e-05	0.99997	5.3854e-05	0.00022603	False
CNOT3__P1P2__secondary__RVS__32	CNOT3__P1P2	3590.6	1285.5/1176.5	3590.6	1231	-1.5436	5946.2	3.4171e+05	4.0365	2.713e-05	0.99997	5.426e-05	0.00022763	False
ZNF532_-_56531072.23-P2	ZNF532__P2	1163.6	150.32/80.108	1163.6	115.22	-3.325	2465.1	68791	4.0336	2.7464e-05	0.99997	5.4929e-05	0.00023034	False
RAD1__P1P2__primary__FWD__8	RAD1__P1P2	4127.2	1492.9/1554.7	4127.2	1523.8	-1.4369	1909	4.1668e+05	4.0332	2.7511e-05	0.99997	5.5022e-05	0.00023063	False
CWC27__P1P2__primarysecondary__FWD__67	CWC27__P1P2	3825.1	1250.3/1468	3825.1	1359.2	-1.4921	23708	3.7393e+05	4.0327	2.7571e-05	0.99997	5.5141e-05	0.00023103	False
KANSL1_-_44270669.23-P1P2	KANSL1__P1P2	3094.4	1005.6/942.67	3094.4	974.14	-1.6664	1980.9	2.765e+05	4.0321	2.7637e-05	0.99997	5.5275e-05	0.00023149	False
HMGCS1__P1P2__primary__RVS__60	HMGCS1__P1P2	1319.3	166.91/170.46	1319.3	168.69	-2.96	6.3081	82234	4.0296	2.7931e-05	0.99997	5.5861e-05	0.00023385	False
PPM1G_-_27632090.23-P1	PPM1G__P1	2017.9	381.51/529.09	2017.9	455.3	-2.1455	10889	1.5048e+05	4.0291	2.8001e-05	0.99997	5.6002e-05	0.00023433	False
RAD51AP1_+_4648268.23-P1P2	RAD51AP1__P1P2	4920.3	1679.5/2266.3	4920.3	1972.9	-1.318	1.7219e+05	5.352e+05	4.0288	2.8028e-05	0.99997	5.6056e-05	0.00023446	False
SMARCA5_-_144434878.23-P1P2	SMARCA5__P1P2	3418.2	990.06/1301.3	3418.2	1145.7	-1.5762	48432	3.186e+05	4.0262	2.8345e-05	0.99997	5.669e-05	0.00023701	False
SFPQ_-_35658708.23-P1P2	SFPQ__P1P2	3958	1759.3/1112.2	3958	1435.8	-1.4623	2.0937e+05	3.9256e+05	4.0256	2.841e-05	0.99997	5.6819e-05	0.00023745	False
BMS1__P1P2__primary__RVS__39	BMS1__P1P2	2037.7	381.51/549.58	2037.7	465.54	-2.1275	14124	1.5258e+05	4.0255	2.8431e-05	0.99997	5.6862e-05	0.00023752	False
CENPQ_-_49431520.23-P1P2	CENPQ__P1P2	4124.1	1625.6/1428.9	4124.1	1527.2	-1.4326	19338	4.1623e+05	4.0252	2.8468e-05	0.99997	5.6937e-05	0.00023773	False
MOSPD2_-_14891611.23-P1P2	MOSPD2__P1P2	2991.6	905.05/947.33	2991.6	926.19	-1.6905	893.59	2.6353e+05	4.0235	2.8675e-05	0.99997	5.735e-05	0.00023935	False
HMBS_-_118955642.23-P1	HMBS__P1	4793.6	2046.5/1763.3	4793.6	1904.9	-1.331	40090	5.1568e+05	4.0227	2.8769e-05	0.99997	5.7537e-05	0.00024003	False
INO80C_+_33077864.23-P1P2	INO80C__P1P2	3270.8	1144.5/996.69	3270.8	1070.6	-1.6103	10928	2.9922e+05	4.0223	2.8819e-05	0.99997	5.7637e-05	0.00024035	False
ERC1__P1P2__secondary__FWD__74	ERC1__P1P2	4359.7	1596.5/1727	4359.7	1661.8	-1.391	8507.9	4.505e+05	4.0197	2.9142e-05	0.99997	5.8283e-05	0.00024293	False
DDX31_-_135545313.23-P1P2	DDX31__P1P2	3557.3	1388.2/1058.2	3557.3	1223.2	-1.5394	54445	3.3722e+05	4.0196	2.9154e-05	0.99997	5.8307e-05	0.00024293	False
BRAP__P1P2__secondary__FWD__29	BRAP__P1P2	3887.4	1154.9/1648.7	3887.4	1401.8	-1.4709	1.2194e+05	3.8263e+05	4.0183	2.931e-05	0.99997	5.862e-05	0.00024413	False
HEATR3_+_50099962.23-P1P2	HEATR3__P1P2	5347.9	1700.2/2757.2	5347.9	2228.7	-1.2624	5.5863e+05	6.0266e+05	4.018	2.9348e-05	0.99997	5.8695e-05	0.00024434	False
PHC1__P1P2__primary__RVS__52	PHC1__P1P2	3476.4	1413/951.05	3476.4	1182	-1.5555	1.0672e+05	3.2634e+05	4.0162	2.9568e-05	0.99997	5.9136e-05	0.00024607	False
GTF3A__P1P2__secondary__FWD__56	GTF3A__P1P2	3813.7	1210.9/1515.5	3813.7	1363.2	-1.4835	46407	3.7234e+05	4.0159	2.9606e-05	0.99997	5.9212e-05	0.00024628	False
MDC1_-_30685055.23-P1P2	MDC1__P1P2	3461.8	1353.9/995.76	3461.8	1174.9	-1.5582	64148	3.244e+05	4.0153	2.968e-05	0.99997	5.9361e-05	0.00024679	False
ASUN__P1P2__secondary__FWD__75	ASUN__P1P2	3739	1638/1011.6	3739	1324.8	-1.4962	1.9619e+05	3.62e+05	4.0125	3.0036e-05	0.99997	6.0072e-05	0.00024964	False
CORO1B__67210174__RVS__8	CORO1B__67210174	4134.5	1644.2/1438.2	4134.5	1541.2	-1.423	21219	4.1772e+05	4.0124	3.0055e-05	0.99997	6.011e-05	0.00024969	False
PTPN14_+_214724894.23-P1P2	PTPN14__P1P2	4491.6	6986.4/7494.8	4491.6	7240.6	0.68877	1.2922e+05	4.7003e+05	4.0097	0.99997	3.0392e-05	6.0784e-05	0.00025238	True
WDR82__P1P2__secondary__RVS__67	WDR82__P1P2	5853.5	2610.4/2460.1	5853.5	2535.3	-1.2068	11307	6.8542e+05	4.008	3.0621e-05	0.99997	6.1242e-05	0.00025417	False
BRAP_-_112123319.23-P1P2	BRAP__P1P2	2890.9	900.9/866.29	2890.9	883.59	-1.7089	599.19	2.5099e+05	4.0067	3.0781e-05	0.99997	6.1561e-05	0.00025539	False
NEK2__P1P2__primary__RVS__28	NEK2__P1P2	3846.9	1175.6/1598.4	3846.9	1387	-1.471	89382	3.7697e+05	4.0065	3.0812e-05	0.99997	6.1625e-05	0.00025554	False
MEAF6_+_37980328.23-P1P2	MEAF6__P1P2	5265.9	2056.8/2323.1	5265.9	2190	-1.2654	35457	5.8954e+05	4.0061	3.0866e-05	0.99997	6.1731e-05	0.00025588	False
ARHGEF5__144052240__RVS__38	ARHGEF5__144052240	2368.8	634.47/620.37	2368.8	627.42	-1.915	99.347	1.8903e+05	4.0054	3.0961e-05	0.99997	6.1923e-05	0.00025656	False
SGK223_+_8243881.23-P1P2	SGK223__P1P2	4854.9	8085.3/7427.7	4854.9	7756.5	0.67586	2.1623e+05	5.2509e+05	4.0043	0.99997	3.1103e-05	6.2206e-05	0.00025762	True
XRCC1_+_44079225.23-P1P2	XRCC1__P1P2	3989.2	1240.9/1693.4	3989.2	1467.2	-1.4424	1.0238e+05	3.9697e+05	4.0028	3.1304e-05	0.99997	6.2608e-05	0.00025918	False
non-targeting_00618	negative_control__na	2964.6	1021.2/825.3	2964.6	923.23	-1.682	19181	2.6015e+05	4.0024	3.1355e-05	0.99997	6.271e-05	0.00025949	False
HNRNPA2B1__P1P2__primary__RVS__52	HNRNPA2B1__P1P2	4530	1635.9/1906.8	4530	1771.3	-1.3542	36674	4.7576e+05	3.9994	3.1748e-05	0.99997	6.3497e-05	0.00026263	False
CCNE1_-_30302934.23-P1P2	CCNE1__P1P2	2990.6	4808.3/5276.9	2990.6	5042.6	0.75355	1.098e+05	2.634e+05	3.9983	0.99997	3.1899e-05	6.3797e-05	0.00026376	True
TBC1D31_+_124084949.23-P1P2	TBC1D31__P1P2	5347.9	2178.1/2310.1	5347.9	2244.1	-1.2525	8706.9	6.0266e+05	3.9982	3.1919e-05	0.99997	6.3839e-05	0.00026382	False
LSR_+_35739595.23-P1P2	LSR__P1P2	3672.6	1230.6/1364.6	3672.6	1297.6	-1.5002	8985.3	3.5287e+05	3.998	3.1937e-05	0.99997	6.3875e-05	0.00026386	False
NUTF2__P1P2__primary__RVS__61	NUTF2__P1P2	1698.2	376.33/278.52	1698.2	327.42	-2.3713	4783.5	1.1774e+05	3.9977	3.1987e-05	0.99997	6.3974e-05	0.00026415	False
ZNF532_+_56532174.23-P1	ZNF532__P1	5578.4	9113.7/8438.4	5578.4	8776.1	0.65363	2.2807e+05	6.3999e+05	3.9971	0.99997	3.206e-05	6.4121e-05	0.00026465	True
ATRIP__P1P2__primary__FWD__81	ATRIP__P1P2	3898.8	1390.2/1455	3898.8	1422.6	-1.4539	2096.6	3.8423e+05	3.9948	3.2375e-05	0.99997	6.475e-05	0.00026713	False
FAM64A__P1P2__primary__FWD__44	FAM64A__P1P2	5003.3	8160/7760.2	5003.3	7960.1	0.6698	79889	5.4811e+05	3.9938	0.99997	3.251e-05	6.5021e-05	0.00026813	True
GOLGA7__P1P2__primary__FWD__48	GOLGA7__P1P2	5567	2014.3/2739.5	5567	2376.9	-1.2274	2.6294e+05	6.3813e+05	3.9934	3.2567e-05	0.99997	6.5134e-05	0.00026849	False
BRD1_-_50221063.23-P1P2	BRD1__P1P2	4219.6	1417.2/1787.5	4219.6	1602.4	-1.3964	68577	4.3002e+05	3.9912	3.2876e-05	0.99997	6.5753e-05	0.00027092	False
BRPF1_+_9773468.23-P1P2	BRPF1__P1P2	4626.5	1922.1/1742.8	4626.5	1832.4	-1.3357	16065	4.9027e+05	3.9904	3.2976e-05	0.99997	6.5953e-05	0.00027163	False
HMGCR__P1P2__secondary__RVS__250	HMGCR__P1P2	5310.6	2027.8/2430.3	5310.6	2229	-1.2521	80982	5.9667e+05	3.9893	3.3132e-05	0.99997	6.6264e-05	0.0002728	False
SF3A2__P2__primarysecondary__RVS__54	SF3A2__P2	4241.4	1893/1340.4	4241.4	1616.7	-1.3909	1.527e+05	4.3319e+05	3.9878	3.3341e-05	0.99997	6.6682e-05	0.0002744	False
GMEB1_-_28995351.23-P1P2	GMEB1__P1P2	3169.1	1110.3/963.16	3169.1	1036.7	-1.6111	10828	2.8606e+05	3.9869	3.3471e-05	0.99997	6.6943e-05	0.00027536	False
GMEB1_+_28995513.23-P1P2	GMEB1__P1P2	3937.3	1399.6/1497.8	3937.3	1448.7	-1.4418	4828.9	3.8964e+05	3.9867	3.3493e-05	0.99997	6.6987e-05	0.0002754	False
TINF2_-_24711404.23-P1P2	TINF2__P1P2	3293.7	1306.3/897.96	3293.7	1102.1	-1.5786	83355	3.022e+05	3.9867	3.3505e-05	0.99997	6.7011e-05	0.0002754	False
MDM2__P1P2__primary__FWD__48	MDM2__P1P2	1589.2	263.33/312.05	1589.2	287.69	-2.4617	1187	1.0714e+05	3.9804	3.4404e-05	0.99997	6.8807e-05	0.00028267	False
non-targeting_00692	negative_control__na	1699.3	248.81/420.1	1699.3	334.46	-2.3416	14670	1.1785e+05	3.9782	3.4715e-05	0.99997	6.943e-05	0.0002851	False
FUT7__139925746__FWD__44	FUT7__P1P2	3853.2	1238.9/1577	3853.2	1407.9	-1.4518	57170	3.7784e+05	3.978	3.4747e-05	0.99997	6.9495e-05	0.00028525	False
SETDB1_+_150898881.23-P1P2	SETDB1__P1P2	3561.5	1516.7/982.72	3561.5	1249.7	-1.5101	1.4257e+05	3.3778e+05	3.9777	3.4795e-05	0.99997	6.9591e-05	0.00028552	False
ESRP1_+_95653785.23-P1P2	ESRP1__P1P2	4426.2	1767.6/1690.7	4426.2	1729.1	-1.3555	2960	4.6031e+05	3.9752	3.5156e-05	0.99996	7.0312e-05	0.0002883	False
SETDB1__P1P2__primary__RVS__42	SETDB1__P1P2	4134.5	1374.7/1755.9	4134.5	1565.3	-1.4007	72648	4.1772e+05	3.9752	3.5164e-05	0.99996	7.0328e-05	0.0002883	False
DPF2__P1__primarysecondary__RVS__3	DPF2__P1	3833.5	1458.7/1339.5	3833.5	1399.1	-1.4535	7101	3.7509e+05	3.9749	3.5211e-05	0.99996	7.0422e-05	0.00028857	False
KIRREL_+_157963474.23-P1P2	KIRREL__P1P2	4846.6	7832.4/7614	4846.6	7723.2	0.67212	23842	5.2382e+05	3.9746	0.99996	3.525e-05	7.05e-05	0.00028877	True
CCNE1__P1P2__secondary__RVS__61	CCNE1__P1P2	4874.6	7474.7/8050.9	4874.6	7762.8	0.67118	1.6599e+05	5.2813e+05	3.9742	0.99996	3.5304e-05	7.0607e-05	0.00028908	True
KDM5A_-_498100.23-P1P2	KDM5A__P1P2	3622.7	1087.5/1484.8	3622.7	1286.2	-1.4933	78917	3.4608e+05	3.9719	3.5657e-05	0.99996	7.1314e-05	0.00029185	False
ROCK1__18690984__RVS__3	ROCK1__18690984	4332.7	6705.5/7267.5	4332.7	6986.5	0.68916	1.5794e+05	4.4654e+05	3.9713	0.99996	3.5747e-05	7.1495e-05	0.00029247	True
RUNX1T1_-_93106981.23-P2	RUNX1T1__P2	3533.5	1331.1/1147.6	3533.5	1239.4	-1.5107	16844	3.34e+05	3.9695	3.6008e-05	0.99996	7.2015e-05	0.00029447	False
WDR82_+_52312633.23-P1P2	WDR82__P1P2	3747.3	1324.9/1388.9	3747.3	1356.9	-1.4649	2043.7	3.6314e+05	3.9667	3.6432e-05	0.99996	7.2863e-05	0.00029781	False
DICER1_+_95624055.23-P1P2	DICER1__P1P2	5576.3	2210.3/2599.8	5576.3	2405	-1.2129	75862	6.3966e+05	3.9652	3.6673e-05	0.99996	7.3345e-05	0.00029966	False
CAB39_-_231577826.23-P1P2	CAB39__P1P2	4308.9	1207.8/2134	4308.9	1670.9	-1.3661	4.2899e+05	4.4304e+05	3.9632	3.6972e-05	0.99996	7.3943e-05	0.00030197	False
KAT5_-_65480114.23-P1P2	KAT5__P1P2	2090.6	426.09/602.67	2090.6	514.38	-2.0209	15591	1.5825e+05	3.9627	3.7047e-05	0.99996	7.4094e-05	0.00030246	False
PCGF2_+_36904525.23-P1	PCGF2__P1	4180.2	1396.5/1802.4	4180.2	1599.4	-1.3854	82410	4.2431e+05	3.9619	3.7185e-05	0.99996	7.437e-05	0.00030335	False
ORC5__P1P2__primarysecondary__RVS__41	ORC5__P1P2	5318.9	2386.5/2123.8	5318.9	2255.2	-1.2375	34510	5.98e+05	3.9618	3.7187e-05	0.99996	7.4374e-05	0.00030335	False
EVI5__P1P2__secondary__RVS__44	EVI5__P1P2	4679.4	7580.4/7367.2	4679.4	7473.8	0.67539	22746	4.9828e+05	3.9586	0.99996	3.7689e-05	7.5379e-05	0.00030732	True
MTF1_-_38325222.23-P1P2	MTF1__P1P2	4145.9	1395.4/1772.6	4145.9	1584	-1.3875	71144	4.1937e+05	3.9561	3.8099e-05	0.99996	7.6198e-05	0.00031053	False
CSTF2_-_100075438.23-P1P2	CSTF2__P1P2	5192.2	2293.2/2079.1	5192.2	2186.1	-1.2476	22924	5.7782e+05	3.9546	3.833e-05	0.99996	7.666e-05	0.00031228	False
PRMT7_+_68345289.23-P1P2	PRMT7__P1P2	4349.4	1494.9/1905.8	4349.4	1700.4	-1.3544	84415	4.4898e+05	3.9533	3.8532e-05	0.99996	7.7065e-05	0.0003138	False
NDUFAF6_-_96037268.23-P1P2	NDUFAF6__P1P2	3228.3	1006.6/1167.2	3228.3	1086.9	-1.5697	12882	2.9369e+05	3.9514	3.8854e-05	0.99996	7.7708e-05	0.00031628	False
ZNF532__P1__primarysecondary__FWD__37	ZNF532__P1	5603.3	9046.4/8494.3	5603.3	8770.3	0.64626	1.5241e+05	6.4407e+05	3.9462	0.99996	3.9694e-05	7.9389e-05	0.00032299	True
SNRNP40_-_31769252.23-P1P2	SNRNP40__P1P2	3695.4	1601.7/1080.5	3695.4	1341.1	-1.4616	1.3582e+05	3.56e+05	3.9457	3.9775e-05	0.99996	7.9551e-05	0.00032351	False
HDAC8__P1P2__secondary__RVS__64	HDAC8__P1P2	5076	7832.4/8221.3	5076	8026.8	0.66104	75647	5.5948e+05	3.9451	0.99996	3.9885e-05	7.9769e-05	0.00032426	True
CHEK1__P1P2__primary__FWD__56	CHEK1__P1P2	1533.2	263.33/289.69	1533.2	276.51	-2.4669	347.65	1.0181e+05	3.943	4.0235e-05	0.99996	8.047e-05	0.00032698	False
MRGBP_-_61427962.23-P1P2	MRGBP__P1P2	1482.3	249.85/263.61	1482.3	256.73	-2.5249	94.722	97042	3.9399	4.0753e-05	0.99996	8.1506e-05	0.00033105	False
NRF1_-_129251592.23-P1P2	NRF1__P1P2	1519.7	224.97/322.3	1519.7	273.63	-2.4691	4736.5	1.0054e+05	3.9345	4.169e-05	0.99996	8.338e-05	0.00033851	False
UBE2C_+_44441326.23-P1P2	UBE2C__P1P2	1965	363.89/573.8	1965	468.84	-2.065	22031	1.449e+05	3.9312	4.2268e-05	0.99996	8.4537e-05	0.00034307	False
CCDC137__P1P2__secondary__FWD__26	CCDC137__P1P2	5049	2228.9/2012	5049	2120.5	-1.2512	23526	5.5525e+05	3.9301	4.2457e-05	0.99996	8.4914e-05	0.00034446	False
ZC3H7A__P1P2__primary__FWD__63	ZC3H7A__P1P2	4751.1	2147/1746.5	4751.1	1946.8	-1.2867	80196	5.0918e+05	3.93	4.248e-05	0.99996	8.496e-05	0.0003445	False
CSNK2A1__P1P2__secondary__RVS__44	CSNK2A1__P1P2	1867.4	367/483.44	1867.4	425.22	-2.1321	6780	1.3477e+05	3.9295	4.2558e-05	0.99996	8.5117e-05	0.00034499	False
DPF2__P1__primarysecondary__RVS__1	DPF2__P1	3992.3	1671.2/1360.9	3992.3	1516	-1.3963	48135	3.9741e+05	3.928	4.2829e-05	0.99996	8.5659e-05	0.00034692	False
HSPA14__P1P2__secondary__FWD__44	HSPA14__P1P2	4271.5	1940.7/1405.6	4271.5	1673.2	-1.3516	1.4317e+05	4.3757e+05	3.928	4.2833e-05	0.99996	8.5666e-05	0.00034692	False
KIFC1_+_33359646.23-P1P2	KIFC1__P1P2	3109.9	1034.6/1040.5	3109.9	1037.6	-1.5828	17.024	2.7849e+05	3.9271	4.2993e-05	0.99996	8.5986e-05	0.00034807	False
PPP2R1A_-_52693475.23-P1	PPP2R1A__P1	4102.3	1435.8/1721.4	4102.3	1578.6	-1.3772	40768	4.131e+05	3.9265	4.3093e-05	0.99996	8.6186e-05	0.00034874	False
COL4A3BP_+_74807444.23-P1P2	COL4A3BP__P1P2	3370.5	991.1/1361.8	3370.5	1176.5	-1.5177	68724	3.1228e+05	3.9262	4.3157e-05	0.99996	8.6314e-05	0.00034911	False
CYFIP2_+_156693379.23-P1P2	CYFIP2__P1P2	3964.2	1397.5/1605.9	3964.2	1501.7	-1.3999	21715	3.9344e+05	3.9259	4.3195e-05	0.99996	8.6389e-05	0.00034927	False
SLC11A2_+_51420080.23-P1	SLC11A2__P1	4379.5	1705.4/1768	4379.5	1736.7	-1.3339	1957.8	4.5341e+05	3.9248	4.3404e-05	0.99996	8.6808e-05	0.00035082	False
FDXR__P1P2__primary__FWD__214	FDXR__P1P2	3562.5	1243/1319.9	3562.5	1281.5	-1.4744	2957	3.3792e+05	3.924	4.3542e-05	0.99996	8.7085e-05	0.00035179	False
MEAF6_-_37980311.23-P1P2	MEAF6__P1P2	3394.4	1181.9/1200.7	3394.4	1191.3	-1.5099	177.44	3.1544e+05	3.9226	4.3794e-05	0.99996	8.7588e-05	0.00035367	False
DBF4__P1P2__secondary__RVS__39	DBF4__P1P2	4603.7	1970.8/1774.5	4603.7	1872.6	-1.2973	19267	4.8682e+05	3.9142	4.5357e-05	0.99995	9.0713e-05	0.00036609	False
AKAP3__P1__primarysecondary__RVS__-22	AKAP3__P1	3945.6	1319.7/1677.6	3945.6	1498.7	-1.3959	64038	3.9081e+05	3.9141	4.5369e-05	0.99995	9.0739e-05	0.00036609	False
UBA2__P1P2__primarysecondary__RVS__38	UBA2__P1P2	4287.1	1779/1604	4287.1	1691.5	-1.3412	15308	4.3985e+05	3.9136	4.546e-05	0.99995	9.0919e-05	0.00036667	False
RRP8_-_6624745.23-P1P2	RRP8__P1P2	3234.5	1223.3/998.56	3234.5	1110.9	-1.5409	25259	2.945e+05	3.9131	4.5554e-05	0.99995	9.1108e-05	0.00036728	False
SPECC1L_+_24667086.23-P1P2	SPECC1L__P1P2	3111	821.08/1270.6	3111	1045.8	-1.5718	1.0101e+05	2.7862e+05	3.9125	4.568e-05	0.99995	9.136e-05	0.00036814	False
HIF1AN_-_102295772.23-P1P2	HIF1AN__P1P2	3231.4	1150.8/1071.2	3231.4	1111	-1.5395	3163.1	2.941e+05	3.91	4.615e-05	0.99995	9.23e-05	0.00037177	False
MPHOSPH8__P1__primarysecondary__FWD__51	MPHOSPH8__P1	4534.1	1744.8/1926.3	4534.1	1835.6	-1.3041	16477	4.7638e+05	3.9098	4.6185e-05	0.99995	9.2371e-05	0.0003719	False
BRD1__P1P2__primarysecondary__FWD__45	BRD1__P1P2	3369.5	1082.3/1291	3369.5	1186.7	-1.5048	21781	3.1215e+05	3.9069	4.675e-05	0.99995	9.35e-05	0.00037629	False
TCF7L1__P1P2__secondary__FWD__55	TCF7L1__P1P2	4069.1	7060/6069.6	4069.1	6564.8	0.68991	4.9047e+05	4.0834e+05	3.9055	0.99995	4.7006e-05	9.4011e-05	0.00037819	True
CYLD__P1P2__secondary__FWD__41	CYLD__P1P2	3376.7	1177.7/1207.2	3376.7	1192.5	-1.5009	435.28	3.131e+05	3.9036	4.7396e-05	0.99995	9.4791e-05	0.00038117	False
CHAF1A_+_4402699.23-P1P2	CHAF1A__P1P2	1678.5	258.14/444.32	1678.5	351.23	-2.2534	17331	1.158e+05	3.9024	4.763e-05	0.99995	9.5259e-05	0.00038289	False
NEDD8-MDP1_+_24701319.23-P1P2	NEDD8-MDP1__P1P2	3848	1629.7/1274.3	3848	1452	-1.4054	63167	3.7712e+05	3.9016	4.7772e-05	0.99995	9.5543e-05	0.0003838	False
ASXL2_+_26100928.23-P1P2	ASXL2__P1P2	3319.6	1052.3/1273.3	3319.6	1162.8	-1.5126	24439	3.0559e+05	3.9016	4.7782e-05	0.99995	9.5563e-05	0.0003838	False
SRSF6_+_42086993.23-P1	SRSF6__P1	4924.4	1553/2584.9	4924.4	2068.9	-1.2507	5.324e+05	5.3584e+05	3.9009	4.7924e-05	0.99995	9.5847e-05	0.00038478	False
VPS51_-_64863728.23-P1P2	VPS51__P1P2	3207.5	922.67/1284.5	3207.5	1103.6	-1.5384	65468	2.9101e+05	3.9001	4.8074e-05	0.99995	9.6148e-05	0.00038583	False
PFDN4_-_52824645.23-P1P2	PFDN4__P1P2	3808.5	1716.8/1146.7	3808.5	1431.7	-1.4108	1.6253e+05	3.7162e+05	3.8989	4.8314e-05	0.99995	9.6629e-05	0.00038759	False
EAF1__P1P2__secondary__RVS__58	EAF1__P1P2	3329	1234.7/1104.7	3329	1169.7	-1.5081	8447.1	3.0682e+05	3.8981	4.8466e-05	0.99995	9.6932e-05	0.00038865	False
RPL36A__P1P2__primarysecondary__FWD__100	RPL36A__P1P2	1326.6	164.84/252.43	1326.6	208.64	-2.6629	3836.6	82878	3.8931	4.9476e-05	0.99995	9.8953e-05	0.00039659	False
CABIN1_-_24407978.23-P1P2	CABIN1__P1P2	2816.2	852.18/951.98	2816.2	902.08	-1.6413	4980.5	2.4181e+05	3.8925	4.9599e-05	0.99995	9.9197e-05	0.0003974	False
TTLL10_-_1115522.23-P1	TTLL10__P1	4106.5	6463.9/6755.2	4106.5	6609.5	0.68652	42417	4.137e+05	3.8917	0.99995	4.978e-05	9.9561e-05	0.0003987	True
XPC__P1__primarysecondary__FWD__63	XPC__P1	2892	885.35/998.56	2892	941.96	-1.6173	6407.6	2.5112e+05	3.8913	4.985e-05	0.99995	9.97e-05	0.00039909	False
NABP2_-_56618197.23-P1	NABP2__P1	3949.7	1440/1591.9	3949.7	1516	-1.3809	11540	3.9139e+05	3.8902	5.0082e-05	0.99995	0.00010016	0.00040078	False
ANKRD17_+_74124498.23-P1P2	ANKRD17__P1P2	3694.4	1449.3/1301.3	3694.4	1375.3	-1.4249	10957	3.5586e+05	3.8875	5.0642e-05	0.99995	0.00010128	0.00040509	False
TFAP4__P1P2__primary__RVS__55	TFAP4__P1P2	3538.7	1331.1/1250.1	3538.7	1290.6	-1.4544	3287	3.347e+05	3.8858	5.0997e-05	0.99995	0.00010199	0.00040777	False
UFC1__P1P2__primary__FWD__72	UFC1__P1P2	4321.3	1593.4/1870.4	4321.3	1731.9	-1.3186	38366	4.4486e+05	3.8823	5.1742e-05	0.99995	0.00010348	0.00041355	False
PCGF2__P1__primarysecondary__RVS__40	PCGF2__P1	5420.6	2454.9/2300.8	5420.6	2377.9	-1.1884	11882	6.1436e+05	3.882	5.1805e-05	0.99995	0.00010361	0.00041389	False
AUNIP_+_26185897.23-P1P2	AUNIP__P1P2	2274.3	428.16/842.07	2274.3	635.11	-1.8387	85659	1.784e+05	3.8811	5.1986e-05	0.99995	0.00010397	0.00041516	False
PTK2_-_142011340.23-P1P2	PTK2__P1P2	3873.9	1418.2/1540.7	3873.9	1479.5	-1.3881	7498.4	3.8074e+05	3.8806	5.2106e-05	0.99995	0.00010421	0.00041595	False
RPUSD4_+_126081184.23-P1P2	RPUSD4__P1P2	3894.7	6702.3/5892.6	3894.7	6297.5	0.69312	3.2784e+05	3.8365e+05	3.8792	0.99995	5.2393e-05	0.00010479	0.00041807	True
KIRREL__P1P2__primary__FWD__66	KIRREL__P1P2	3382.9	1090.6/1329.2	3382.9	1209.9	-1.4826	28468	3.1393e+05	3.8784	5.258e-05	0.99995	0.00010516	0.00041938	False
KIF18B__P1P2__primarysecondary__FWD__50	KIF18B__P1P2	2596.1	629.28/966.89	2596.1	798.09	-1.7005	56988	2.1536e+05	3.8745	5.3422e-05	0.99995	0.00010684	0.00042593	False
BRMS1_+_66112527.23-P1P2	BRMS1__P1P2	4206.1	2302.5/1041.4	4206.1	1672	-1.3304	7.9523e+05	4.2807e+05	3.8732	5.3699e-05	0.99995	0.0001074	0.00042796	False
EYA3_-_28415116.23-P1P2	EYA3__P1P2	5037.6	7833.4/8003.4	5037.6	7918.4	0.65237	14443	5.5346e+05	3.8723	0.99995	5.3902e-05	0.0001078	0.0004294	True
NUDT22__P1P2__secondary__RVS__69	NUDT22__P1P2	3745.2	1342.5/1483.9	3745.2	1413.2	-1.4054	9985.8	3.6286e+05	3.8714	5.4114e-05	0.99995	0.00010823	0.00043091	False
