sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
non-targeting_00475	negative_control__na	3303.8	3178.5/2825.2	3303.8	3001.9	-0.13823	62388	5.3955e+05	0.41108	0.34051	0.65949	0.68102	0.9989	False
non-targeting_00203	negative_control__na	3202.8	3499.2/3500.5	3202.8	3499.8	0.12791	0.81177	5.2306e+05	0.4107	0.65935	0.34065	0.6813	0.99914	True
PTPN20B__48826780__FWD__53	PTPN20B__48826780	3266.4	3052.4/2881.1	3266.4	2966.8	-0.13877	14676	5.3345e+05	0.41027	0.3408	0.6592	0.68161	0.99914	False
TM9SF2__P1P2__primary__RVS__7	TM9SF2__P1P2	3875.5	4446.6/3956.7	3875.5	4201.6	0.11655	1.1998e+05	6.3291e+05	0.40996	0.65908	0.34092	0.68183	0.99914	True
non-targeting_00210	negative_control__na	4748.1	4138/4636.5	4748.1	4387.2	-0.11402	1.2424e+05	7.7543e+05	0.40983	0.34096	0.65904	0.68193	0.99914	False
GTF2IRD2B__74508172__RVS__78	GTF2IRD2B__74508172	4685.5	5586/4501.9	4685.5	5043.9	0.10632	5.8765e+05	7.652e+05	0.40975	0.65901	0.34099	0.68199	0.99914	True
LDB3__P1P2__primarysecondary__FWD__81	LDB3__P1P2	4624.9	4172.8/4365	4624.9	4268.9	-0.11554	18480	7.553e+05	0.40965	0.34103	0.65897	0.68207	0.99914	False
non-targeting_00746	negative_control__na	3818.9	4891.6/3393.2	3818.9	4142.4	0.11728	1.1225e+06	6.2367e+05	0.40962	0.65896	0.34104	0.68209	0.99914	True
MAGOHB_+_10765714.23-P1P2	MAGOHB__P1P2	3171.5	2865.6/2888	3171.5	2876.8	-0.14066	250.6	5.1794e+05	0.40952	0.34108	0.65892	0.68216	0.99914	False
PNKP_+_50370409.23-P1P2	PNKP__P1P2	3092.7	2835.2/2768.2	3092.7	2801.7	-0.14253	2241.4	5.0508e+05	0.40951	0.34108	0.65892	0.68217	0.99914	False
AGO1__36348590__RVS__53	AGO1__36348590	4738	4570/4187.1	4738	4378.5	-0.11382	73299	7.7378e+05	0.40869	0.34138	0.65862	0.68277	0.99914	False
non-targeting_00965	negative_control__na	3989.6	3484.4/3835.8	3989.6	3660.1	-0.12433	61735	6.5155e+05	0.40822	0.34156	0.65844	0.68311	0.99914	False
VEZF1__P1P2__primary__FWD__26	VEZF1__P1P2	4410.8	4716/4798.4	4410.8	4757.2	0.10906	3399.5	7.2033e+05	0.40818	0.65843	0.34157	0.68314	0.99914	True
non-targeting_01582	negative_control__na	3879.5	4002.4/4406.1	3879.5	4204.3	0.11594	81472	6.3357e+05	0.40798	0.65835	0.34165	0.68329	0.99914	True
KDM3A__P1P2__secondary__RVS__71	KDM3A__P1P2	4019.9	3610.4/3768.5	4019.9	3689.5	-0.12372	12492	6.565e+05	0.40783	0.3417	0.6583	0.6834	0.99914	False
SLC30A3_-_27485538.23-P1P2	SLC30A3__P1P2	3572.5	3085.5/3436.6	3572.5	3261	-0.13155	61641	5.8343e+05	0.40774	0.34173	0.65827	0.68347	0.99914	False
CCDC77__P2__primarysecondary__RVS__19	CCDC77__P2	4217.9	3905.1/3854	4217.9	3879.6	-0.12059	1302.3	6.8883e+05	0.40763	0.34177	0.65823	0.68355	0.99914	False
MRE11A__P1P2__primary__RVS__-45	MRE11A__P1P2	3340.2	3742.5/3539.2	3340.2	3640.9	0.12434	20667	5.4549e+05	0.40718	0.65806	0.34194	0.68388	0.99914	True
CST1__P1P2__primarysecondary__FWD__29	CST1__P1P2	3476.5	3027.2/3312.3	3476.5	3169.8	-0.13323	40619	5.6776e+05	0.40712	0.34196	0.65804	0.68392	0.99914	False
HNRNPLL__P1P2__secondary__RVS__68	HNRNPLL__P1P2	3231.1	3319.3/2551.5	3231.1	2935.4	-0.13842	2.9474e+05	5.2767e+05	0.40707	0.34198	0.65802	0.68396	0.99914	False
non-targeting_01288	negative_control__na	3409.9	3346.2/4081	3409.9	3713.6	0.12308	2.6997e+05	5.5687e+05	0.40706	0.65802	0.34198	0.68396	0.99914	True
ZNF286A__15602675__RVS__65	ZNF286A__15602675	3204.8	3288.9/2532.1	3204.8	2910.5	-0.13894	2.8634e+05	5.2339e+05	0.40686	0.34205	0.65795	0.68411	0.99914	False
non-targeting_00627	negative_control__na	3659.3	3143.7/3546.1	3659.3	3344.9	-0.12958	80954	5.9761e+05	0.40675	0.3421	0.6579	0.68419	0.99914	False
GPRIN2__46993345__FWD__74	GPRIN2__46993345	3585.6	3221.9/3327.1	3585.6	3274.5	-0.1309	5529.6	5.8557e+05	0.40653	0.34218	0.65782	0.68435	0.99914	False
non-targeting_01380	negative_control__na	3237.1	2697.8/3185.7	3237.1	2941.7	-0.138	1.1899e+05	5.2866e+05	0.40627	0.34227	0.65773	0.68454	0.99914	False
ZFC3H1__P1P2__primary__RVS__34	ZFC3H1__P1P2	3876.5	3463.5/3643	3876.5	3553.3	-0.12556	16107	6.3308e+05	0.4062	0.3423	0.6577	0.6846	0.99914	False
non-targeting_00448	negative_control__na	3269.5	2956/2989.5	3269.5	2972.7	-0.13722	561.4	5.3394e+05	0.4061	0.34234	0.65766	0.68467	0.99914	False
ACADS__P1P2__primary__FWD__232	ACADS__P1P2	3767.4	4698.6/3473.1	3767.4	4085.8	0.11704	7.5095e+05	6.1526e+05	0.40598	0.65762	0.34238	0.68476	0.99914	True
